review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1T787OV4BIS2M,3,26,30,N,Y
R1CN9MUUBLBNCB,5,49,50,N,N
R36M5EQBRI741H,5,24,26,N,N
R19CDAL11NOEKX,5,18,20,N,Y
R1ENM74C2NJCW,3,25,29,N,N
R2K0V60HJPAXA5,5,131,139,N,N
RH29TET76L5YW,5,19,20,N,Y
RTHUSHDV9ZVYM,4,20,23,N,N
R75HM92PFMWUT,5,30,32,N,N
R2SOAJ5KB2F1O1,5,48,52,N,Y
R1T70ANVJ97JK3,2,20,28,N,N
R2IUJK1FUP6PYS,2,21,35,N,N
ROMMKZ0OQX3MJ,4,21,23,N,N
RGNJ552UPS1LC,5,66,71,N,N
R150BOT2AIGSQO,5,18,20,N,Y
R8RKSPF01VBBH,2,15,30,N,N
RBQQ5F95OI3A7,4,40,44,N,Y
RRJ4P4W1IUVUX,1,24,30,N,N
RTUEIS7RNPZT2,2,19,22,N,N
R8FGEO2PRVABU,5,95,96,N,Y
RRF3VBTHHEQM0,5,21,21,N,Y
R3NBEMT6M8IUTO,4,18,21,N,Y
R3EULT1D21X7DU,4,20,24,N,Y
R33XY73TJK58OW,5,22,23,N,Y
R1WPSEX6SZJQFO,2,24,31,N,N
R2Q8Q69UL5ST98,4,19,21,N,N
R1D7N3OSXRZ38M,5,23,27,N,Y
R3TMR9BLPF4IIC,5,37,42,N,Y
R3GEBM94DE5WC1,5,69,70,N,Y
RRCWPX3BOHAN3,5,31,32,N,N
R1CLDOCL40T9DF,5,19,20,N,N
RVH6ILC8UF9TF,5,20,21,N,Y
RYCOZ3334FEKL,3,20,20,N,Y
R2SL1COSKAHVZO,5,19,20,N,N
R1AIFS9KRPEW9Z,5,30,30,N,Y
R2QGOXEUJOH6OS,5,20,21,N,Y
R11TI5NS98W31N,4,34,35,N,Y
R3BGFK4CMRB90J,5,20,20,N,Y
R1W5QDZUASDYT,5,20,21,N,Y
R3HK1M96SOTP8V,1,37,44,N,N
R2ONGZEM9OUFN4,4,38,38,N,Y
R37Z3IOT4JCOUB,5,30,32,N,N
RGUPYIYKERE4J,1,14,24,N,Y
R1QPDDKGI61R65,5,24,24,N,Y
R32LEYFTW8J4B9,5,49,53,N,Y
R3LIKT8T9V453V,1,14,25,N,N
RDQMLZK21X1P4,1,27,41,N,N
R30ER3SR5E2HWJ,5,23,24,N,Y
R3ENJ5JUB9W5AR,1,24,39,N,N
R3IGN8MTISXBOD,5,18,20,N,Y
R3JTHBZOMXUDRP,1,13,25,N,Y
RNELL8O1KQ2BC,5,20,20,N,Y
R3KZ06YFSIWBJO,5,23,24,N,Y
R2VQF1ARH3LB7J,1,24,25,N,Y
R2LGNI0TC8GYB1,2,15,26,N,N
R1T305P4EKMKIC,2,11,21,N,Y
R3XF0RM2ZZUZ6,5,22,27,N,Y
R1ZZRUAW8C57UE,4,48,52,N,N
R6YCFYLF1MBDW,5,31,31,N,N
R2XJMGZSSD38LL,5,26,28,N,N
R3MP3UVJGC06JT,5,54,65,N,Y
R2A9SQ2ONEYHI0,5,53,54,N,Y
R3TP4SGU399XYQ,5,50,58,N,Y
R2GX33TW2JY5AR,1,12,24,N,N
R38Y0NEGCHAD3X,5,22,31,N,Y
RTKZ02L6XMOI0,5,25,26,N,N
R1D91VF9NY0Q5X,5,20,20,N,Y
RCHANAK2DHROO,5,204,227,N,N
R3V40RH7W083VS,1,27,41,N,N
R1WLR6L6Z8YQYP,5,32,34,N,Y
R311YPV6M84TVX,3,17,22,N,N
R2KDZ4MUKGV44Q,5,21,27,N,N
R25ZXPBNVNUSLE,5,67,68,N,N
R1G4URHDSVL61J,5,16,20,N,Y
R3F5FHIPTAMOWY,3,49,59,N,N
R3TE1F9G19DKN8,5,44,46,N,N
R3TN8AD1Q1SQY2,1,79,87,N,Y
R17KI3TQIDS8XG,5,29,32,N,Y
R3L3UC9HZRORH,5,28,29,N,Y
R294H598213WAA,5,19,22,N,Y
R3J5VPYW9B9STQ,5,23,23,N,Y
R10RR0ORS7X4WF,5,26,26,N,Y
RTZ0DYVTOPWCG,5,38,40,N,Y
R3PW3XNFXZJNXF,5,28,28,N,Y
R2I9CIUC1J3IXW,5,23,24,N,N
R26HXSUSSN8DLM,5,41,47,N,N
R314QTYOUUDI4C,5,19,23,N,N
R1PJDF3IUNJKDF,5,20,22,N,N
R17VU3UK7FPTB2,5,24,26,N,Y
R1FM8K8ZZTRRZN,1,18,24,N,Y
R1BHFMZL4W7D2K,5,17,20,N,N
R3WK3ZTXLD7II,5,24,28,N,N
R3EXRVHW8XX88J,5,23,24,N,Y
R3GOW76RB0AWB0,2,15,25,N,N
R2C3VYM8M4M453,5,22,23,N,Y
R2OG5E6PJHNNC0,1,10,20,N,Y
R3STQ92D5ZOZJR,2,52,69,N,N
R1JP4M1J17LAJ4,1,12,22,N,N
R3GMH9LHSDK5D0,5,23,24,N,N
R119JG6WI9K406,5,21,21,N,N
RY10BZ224BU9U,1,35,35,N,N
R2SC7RYYGS4VB8,5,47,51,N,Y
R3B01Z51RJDL81,5,38,38,N,Y
RV9EV03NY1SZ3,5,22,27,N,Y
R16EECDIJZFZLZ,5,26,30,N,N
R3JBOP22SVMW2F,1,25,28,N,Y
R1IQZO5P3YL92V,5,22,23,N,N
R1IYV5XH4Y2T12,5,36,36,N,Y
R1KNGSL2TXPFVR,5,21,21,N,Y
R2YK5AT30V7NNF,5,21,22,N,Y
R11B8E9OMAP20T,5,20,20,N,Y
R1WX0ZP7ODLZPZ,5,21,21,N,N
RB4LE8NRR3HSL,5,41,45,N,N
R54OS8I5M4D7G,5,36,37,N,Y
R3BWDXMJ6XGMA6,5,71,74,N,N
RXZYRHF52KG4M,5,22,25,N,Y
R1CK2KY7G5J177,5,64,64,N,N
R1T54LDHU9AZXR,5,28,28,N,Y
RZV0OCES4M6ZE,1,19,25,N,N
R2N25ZE2AXFPAW,1,19,24,N,N
R12H0DZ1NL4I1Y,5,65,66,N,Y
R1F82GIF2J30F7,1,18,22,N,N
R3FCGCBLJYOCY8,2,17,22,N,N
R3TC5APIF0CS3M,1,26,30,N,N
R3CYK8U3RP9GH4,5,25,26,N,N
R2Q3A8H7649Q3D,1,28,32,N,N
R28GZWCHJK5LYG,5,328,360,N,Y
R529ZDUTJQSG3,5,23,26,N,Y
R3O9OK5E5BMWWY,3,17,20,N,Y
R1JFOBHUEE8C9N,5,26,30,N,Y
R3GDR6VN8VZVSN,5,41,41,N,N
R1RF0ANRP063KB,5,24,25,N,Y
R15FPLAUCKBP9S,4,40,42,N,N
R1QV5XYO7LTW9A,2,108,112,N,N
RIFQCG0FCNHX1,5,22,24,N,N
R35KCDK3W9SIQP,1,20,26,N,N
R2WR24SJP4A9G3,5,28,30,N,Y
R27SXPWVZE6XSG,5,23,23,N,Y
R3LHUXOD3OTP3D,5,22,22,N,Y
R3188847N9VWZ9,4,92,97,N,N
R3FO2712X7AJBH,5,31,34,N,N
RTOC1U0A8TAVL,5,30,32,N,N
R83TB7P11J1FE,5,27,27,N,Y
R2CCKK5SXUT3FT,5,20,21,N,N
R3K9I4WSV7Z1OT,4,31,36,N,Y
R2H3WMN5QGMAIG,5,26,26,N,N
RZS7SKP1H71NC,5,16,25,N,N
RIAXK20680JQC,5,21,21,N,N
RNSTQZMCJVQ2,5,18,20,N,N
R2BJW1A28E7MVW,5,28,30,N,N
R3JGOON82JW13Q,5,27,28,N,Y
RTBOQLVUGNETB,4,23,26,N,Y
R2N857BPDYNHPP,5,19,20,N,Y
R3GSD8Y5KLG2GW,2,25,37,N,Y
R1JZ2K4SIUPIZ5,5,28,30,N,N
RTMDUN0V36LUZ,5,21,21,N,Y
R1KYHQ71TOUYES,5,20,20,N,Y
R1LW5SDAA9IWZU,1,12,20,N,Y
R242PLHSJLL8VJ,5,24,31,N,N
R2HIBEYZ5P9K8D,4,38,41,N,N
R2VB02H71SDAOS,5,19,27,N,N
R19482YIGYVH2I,5,31,32,N,Y
R3LYEKZBK8SF2A,5,50,58,N,Y
R1OP2FD70B47IZ,5,34,42,N,Y
R25P8K8MISPCG3,1,42,67,N,N
R936ZWR8SY5WF,5,31,32,N,Y
RPZ45JQTZ2ZV4,5,122,137,N,Y
R2S37L6X8ZTVEW,5,18,23,N,N
R2AU3QSLVY980A,1,12,21,N,N
R2AMY3PG0SW4IR,5,30,33,N,N
R21WWRMQ052SI5,5,23,34,N,N
RHFHDG0HLMEL4,5,58,65,N,Y
R1XZ2TXA055J70,5,25,25,N,Y
RQM72TPEHZUJU,5,63,68,N,Y
R1ZGAU3H9J48YG,5,21,21,N,N
R2BL3UCL6D5QIN,5,26,27,N,N
R3A1Y95B7CWX4K,5,28,30,N,Y
R92JQSRWUBBJA,1,21,38,N,N
R2XA573QJ8DCC4,5,61,76,N,Y
R2MHETGAC7FBWI,5,29,30,N,Y
R1MKUBB31YOKMK,1,12,21,N,Y
R30GRL2L9DXDUK,2,35,48,N,N
R3GCLWZ63Q4WJ4,5,43,47,N,Y
R3MTQWIDSMM1ZX,5,30,30,N,Y
RUNR3E8SBFB3B,5,20,21,N,Y
R22WBAXKHHAG9X,1,18,21,N,N
R18BYP6L99WJM3,1,23,31,N,N
R390GXXND6XACP,1,20,30,N,N
R1NZIADTTH7TVD,1,25,25,N,Y
R1QGYYNL07867P,1,49,67,N,N
R14412HMKGZ89L,5,41,43,N,Y
R3GDQFTZRNQV89,5,28,29,N,N
R2J7U3H6RIJN06,5,33,33,N,Y
RPIMNO9X6GM1R,1,23,32,N,N
R3JY5R7PR8D7ZR,5,19,22,N,Y
R1JJOHUGCLJZ6S,1,20,28,N,N
RY88EOL4SRLBD,1,14,22,N,Y
R3BBDY0MSOL7I4,1,20,28,N,N
R3U9NEM0CJ4U8G,5,22,22,N,Y
R3P4ZOKCF03BJY,3,13,22,N,N
R3OY14YO4MUUS9,4,43,53,N,N
R2ULDKE5MV4JEA,1,11,22,N,N
RKFSAP6J660D2,3,36,49,N,N
R39WUX6UFFGYXE,5,69,80,N,N
R1D1324AM5OPU7,5,35,44,N,N
R16ZWLISYCRLFB,4,35,45,N,N
R1RTJ6PFYEEFGS,5,32,39,N,N
RFKIPUH3MPBRH,1,31,44,N,N
RUU9JRLH1OTVR,5,137,152,N,N
R8NJX5AMJ9M0M,3,20,23,N,N
R1NY79FBWBNV0Q,5,95,109,N,N
R21ZDBY7CTO5YR,5,18,20,N,Y
R2HI188G2H5XOQ,2,13,22,N,N
RFSEKURX07D2A,5,37,50,N,N
R2W84K4WU6PQBG,5,19,20,N,Y
RWTS19URADO9Z,5,25,28,N,Y
R1PA6M0OYQLLOH,5,196,203,N,Y
R1E587ZS0VYSNY,1,18,30,N,N
RJRX09SAC9D2N,3,46,63,N,Y
R11BAEOVKHMRJQ,2,17,29,N,N
RN38WX8ZLSPCJ,3,15,20,N,Y
R1RD1S825LOSA9,3,11,22,N,N
R1A87PDW1P5ICX,5,21,24,N,Y
R6S44C59FN3U5,1,12,20,N,Y
RCGK24O0O9UUR,5,12,23,N,N
R29B4ATH147K0X,5,21,23,N,Y
R1GK0NAI1JSKYN,5,30,30,N,N
R319DL1RY1ORHH,5,66,78,N,Y
R38Z6314H67463,5,25,25,N,Y
R3MPY3MKMI8T01,5,36,38,N,N
R182SMFSE91977,4,66,78,N,N
R2WGBIHQAKOL36,5,22,22,N,N
RWHUSAXUL2ZSM,4,49,60,N,Y
R3ILLVU13FM6CU,3,32,46,N,Y
R3JK5Z7F1B88B7,5,29,29,N,N
RO1FPI4Q60ZCH,3,372,417,N,Y
R39NHCNKCT53EN,5,18,22,N,N
R2Z5GHR81L2UZZ,5,40,42,N,Y
R19NP91855IYZ6,5,20,20,N,N
R3GGDC368HMFTU,5,26,26,N,N
R1OKLAF0Q7XP5Y,5,20,20,N,Y
R2GRF278U99D8S,5,20,20,N,N
R3QUFHYE55ISUH,1,12,23,N,N
R3DYVQJ55D5LJY,5,55,58,N,N
R2X4HNVPF709ZJ,5,35,40,N,N
R2KKVO4E2QO67T,5,23,23,N,N
R3JGZEMYL4XGF,5,44,45,N,Y
R215O8OV4AHUJS,2,30,37,N,Y
R5ZG41ZYYNCFH,4,68,70,N,N
RSBVFGIZIU4DW,3,48,55,N,N
R3W21WU9S20SGV,5,54,61,N,Y
R31NQFQM3RKBT8,3,161,209,N,Y
R1QQU18KBT7RNP,5,79,82,N,N
R79NEMVEBYXWJ,5,20,23,N,N
RYBLZKN11FBFD,1,17,31,N,Y
R1ADPPA129RPS9,5,28,32,N,N
R17XI8BEYQ8K8I,1,10,20,N,N
R33CF1QYZMRJ0Y,1,13,24,N,Y
R1A6NTA7XCHZTD,5,40,40,N,N
R3E8T0JN7QZ4XR,5,35,39,N,Y
R23QZ8CPRREV6Y,5,29,34,N,Y
R3PX76UEUPERAL,5,18,20,N,Y
R100T7TYXZ60HG,1,24,45,N,N
R1E56VD87Q7W7Z,5,16,20,N,N
R9Z3YNS7K9KEA,5,31,31,N,Y
R8XVQXYLVMACU,4,142,150,N,N
R1TIX64Z7BL6KY,4,80,85,N,Y
R27WWW4G4ZLRA3,5,82,83,N,N
R1TAHDUJM8B5SH,5,452,472,N,Y
R2JB9EHRF851EA,5,19,20,N,Y
R1WDYEM7B41Q5M,5,36,39,N,Y
R1XU6GIY0D5JLA,5,60,70,N,N
R2DKZJB8GWUXQV,5,146,161,N,Y
R2FZ6K713Y9DAP,5,65,70,N,Y
RUYW6ZCCAUQTO,1,28,33,N,N
R3NV3L4FY4M2D0,4,18,21,N,N
R32732FB4M5IJE,2,11,20,N,N
R3HMOT98L51FHR,5,258,263,N,N
R2DPRB1WT8JG0X,5,24,24,N,N
R139OY4LT9OX0X,5,16,24,N,N
RR3EYM4S52ATX,1,19,23,N,N
R1J7R2J8IWF6RY,5,20,31,N,N
R23K8ZJGQUJSYC,5,20,21,N,Y
R3KU9ISLNPPRI0,5,33,35,N,Y
R15NHKGFZED6NN,1,15,26,N,N
R1ZP0QEXNE5V3A,5,24,24,N,N
R1EC5PJ6FJWLJN,5,23,26,N,Y
R4M6XUW5RUNBP,1,15,27,N,N
RV1OZ78WJ4X4K,5,38,38,N,N
R1T9CTQHMVWALK,5,165,169,N,Y
RLXO63JG8113G,5,20,23,N,Y
R3URABSFD0G9AJ,5,22,24,N,Y
R2CWGSPVIK65KG,5,42,42,N,N
R1BVZPGFJKKQU3,5,20,20,N,Y
R33P5RYMW8WAIL,5,43,51,N,Y
R2YM0KPNCLAWW,1,20,25,N,Y
R2I9FND332OP9V,4,59,61,N,Y
R21FKJS6C9X4RV,2,10,20,N,Y
R1X9QOF3CF1Y21,5,15,20,N,N
R3IZXBDVV7PI6J,2,28,45,N,N
R2YU1SEIA07KI0,5,109,113,N,Y
R2FOF6L2KSEO9P,5,21,21,N,Y
R18TFNJDDHHVCF,4,30,34,N,N
R29JS8QFPTVYFX,5,20,21,N,Y
RZ0F6CV3TNW5L,5,45,46,N,Y
R16UA2WYODO8UW,5,23,23,N,Y
R3TJHV62CZJON4,5,16,20,N,Y
RBM1D3O447KQ,3,20,21,N,Y
R1YG9BUHFF6Y36,3,20,20,N,Y
RFOAL9GL1UU6,1,22,42,N,N
R5PH6VYF55FGF,1,17,20,N,N
RWXDU8VR3ZCEB,5,33,34,N,N
R6MQ6L8YZ7WUL,5,22,23,N,Y
R3ORNAFYGQ94BG,5,24,26,N,Y
RKV6KY4V9DQNV,5,22,25,N,Y
R38NQ7N8LSRG4M,5,29,30,N,N
R3AXD3RZDNYSQD,5,72,75,N,Y
R1WMHKJJX1P1PA,5,29,29,N,N
R2XJM4YN5WWIEH,5,291,303,N,N
R28LW2OI9HH5UR,5,35,35,N,Y
R2ODT60SRVX8U0,4,128,137,N,Y
RPO6356RF0ODW,5,57,64,N,Y
R1DZ5H10ZVX4GA,4,63,70,N,Y
R2J9VJ0TV0V5YK,5,84,95,N,N
R4K3KQ7HMU7QD,5,22,25,N,Y
RF8L1VZLKVNA1,5,24,25,N,N
R330YSDFA3WWWE,5,39,45,N,N
R2BLBVMZ5P1KO0,5,19,25,N,Y
RV25C9AWA0GHA,5,47,51,N,Y
R3DWNUPM0SRTF5,5,20,23,N,Y
R3TAXZHUCN3LG8,5,21,21,N,Y
R1KE9TNJJZMCIP,5,21,21,N,N
R2DQPISGRDP02D,5,32,33,N,Y
R348Y9J35TOOWV,5,19,20,N,N
R2RMT6H0PH8QEW,1,20,22,N,N
R2I4PEIKQ7VXAF,5,21,22,N,Y
R1EN29WPG18U3U,5,17,20,N,Y
R42E7JSYLR9AM,4,21,24,N,N
RLC42H9UDSSRU,3,23,37,N,N
R1ZE43ICAUJFLC,1,20,22,N,N
R1LXE1VZKAB0O,5,34,39,N,Y
R1NYN3B4LL589J,1,28,29,N,N
R2N8L7NOGKGE6H,5,27,27,N,N
R2IQ8CFBRC7Z9U,4,24,31,N,Y
R1V2JID9ITAAT2,4,21,23,N,N
R2RW2VLCKCAN3R,1,19,22,N,N
R1S6RITUQ4TGX6,1,20,22,N,N
R3SH3VKDLI5CLZ,1,29,30,N,N
R22T9BRGIY73S5,1,19,22,N,N
R2F3OD5J40B4VG,1,19,21,N,N
RTMU1LN2IIXXA,1,21,25,N,N
R176FZVBGT1WZE,1,42,47,N,N
R3VXUZ4H0R5EWP,1,18,21,N,N
R1D0EOXTTYP94Q,1,21,28,N,N
R24KYO9KOIUWNQ,1,24,29,N,N
R3AI3IDFLO3J9U,1,19,23,N,N
R3S2BWGRBF9JRR,1,36,40,N,N
R356GH9DDKMR99,1,49,57,N,N
R2Z017ND6GSN3I,2,17,23,N,N
R40V33GMTX0E1,1,77,89,N,N
R28AF7WTLICB8J,1,59,68,N,N
R3COQY682TWP5Y,1,17,21,N,N
R1M5YG68XGX8NE,1,23,27,N,N
RIZZE1QBP5HHB,1,49,56,N,N
R2ZDM6S1E8WPO3,5,61,69,N,N
R3E2VP7QX512QC,1,23,28,N,N
R1LJYEW3UFUD7X,1,29,36,N,N
RKU3RUSYKCGTW,1,27,30,N,N
R1QV0Q088TD4IY,1,167,189,N,N
R93MPF2DO2WVO,1,42,50,N,N
R2DK5FDL3WQJ8T,1,81,94,N,N
RL5B4CWD96MXH,1,24,28,N,N
R1OC6UW7DDMELP,1,22,26,N,N
R25OZH0WA0BDOO,1,107,124,N,N
R5TCWWLUUHJM4,1,70,82,N,N
R3DYUPK8OFLRX8,1,111,129,N,N
R2OL4K6BTUSE0D,5,68,99,N,N
ROUAJ3ZYYIC8F,1,17,20,N,N
RJDADVZO39QKJ,1,189,201,N,N
R2Z3TGAUGOW0Y9,1,52,61,N,N
R1HN4HRT3W69CS,1,42,50,N,N
R1DA4F4L3C8E80,1,185,208,N,N
R30Q3ZC579UGME,1,46,55,N,N
RE04HRVVPOB14,1,145,167,N,N
R1ZB2J1WC4MT4B,1,128,148,N,N
R3BE5WJ3F8PKIW,1,31,37,N,N
R1OUL2L06YT05R,4,19,26,N,Y
RSOEMGR74DJ68,2,16,21,N,N
RWKMJIAG1GHR2,5,55,60,N,Y
R294ZD5GOIQ4D1,5,33,33,N,Y
R1D1ZIXH3TAUPP,5,18,23,N,Y
R1JBN45CQN3C7I,3,26,30,N,Y
R37EJX9V3GWK79,2,17,24,N,N
R1A61ELPT0YCOJ,5,30,31,N,Y
RS652TFD0HV95,1,58,84,N,N
RFK436IAXSQH6,5,25,26,N,N
RB53NM6TZ6T4T,5,64,67,N,Y
R2O8UZBDZYBBG1,1,33,50,N,N
RI1EPCR29RNDV,5,46,63,N,N
R9W66GTZECCIQ,2,13,26,N,N
R1213V2EZQ1V65,5,26,28,N,N
R6O7DCYGE9MS8,4,17,23,N,N
R2WO3M9H5NCIE1,5,19,20,N,N
R3UBBLGP77W8BA,5,20,20,N,Y
R105SA95DQIU3A,5,25,25,N,N
R2BE7LG43UWMKF,5,41,53,N,N
RXWNUZEWVOJL6,1,14,22,N,Y
R2LSKWOCB3VUXY,5,13,21,N,N
R2TPE0NE5UNBEI,5,14,20,N,Y
R6JZ9WUPZBHOM,5,40,41,N,Y
R2ENU2CG3L3GK,5,26,26,N,N
RGQIC1HCF23VB,5,61,68,N,Y
RTF9HFQFVFGGU,5,23,24,N,N
R1BEX86D7OZRO0,5,24,24,N,Y
RWLZYWHZF6122,2,26,52,N,N
RM0EWDLLUD60Y,5,20,21,N,N
R3HT91FF8VEO7S,5,31,33,N,Y
R1TE1TO8NEVSXC,1,20,26,N,N
RB88V4X570EZB,5,124,144,N,Y
R13HFFF1VVH4SP,5,17,23,N,N
R1ZNFPFAW1EIY9,1,54,63,N,N
R2UD9VFUQ1L5O8,3,15,20,N,Y
RKB44B3DS757U,4,24,25,N,Y
R2SKEBXBJGQ43R,3,28,38,N,Y
R34LJ73KTEEZB2,4,19,22,N,Y
R2LEG1NVGDHD9B,5,25,29,N,Y
R1AXHA1RNSWVJ2,5,35,36,N,Y
RAOW9EE2WO13Z,5,20,21,N,Y
R3T7V7CFV0R951,5,22,22,N,Y
R3XBCRA243YEV,2,14,22,N,N
R2UK2KCUCYUPIR,5,48,48,N,N
R2QVQYS40V5231,5,72,82,N,Y
R34KW0W3TJV42D,5,88,99,N,N
R2UD3IP6IWRVKR,4,19,23,N,Y
R10BMXN3KHZFIT,3,15,21,N,Y
R3LPCQDZ5WAERZ,5,23,24,N,N
RDUJB0XNT8MWF,5,17,22,N,N
RGGT76CWWOO6I,4,142,146,N,Y
R1UGYAIZ59EQS5,4,20,20,N,Y
R2XA4CXSHOQJG7,5,46,46,N,Y
R322UAGGOUBH8S,5,21,21,N,N
R1UJ3RQWSB2G6Z,3,15,23,N,Y
R2WPQGT3KA2NX2,5,19,23,N,N
RG25YMZWVN5GO,1,18,35,N,N
R1ZIF7ICCLQYH1,5,32,34,N,Y
R21DRC2J9RH8Y8,3,20,27,N,N
R31F7UCTP9HGZB,4,12,20,N,Y
R3VMMJIHMVNEYW,5,62,63,N,Y
R2DPBEMCURZ0AH,5,23,23,N,Y
R1DT1FO1ASLLPS,5,19,20,N,N
RZ9ZITGJ3P6QP,1,12,21,N,Y
R1CN62GBP5XND,5,17,23,N,N
R3MO858FWWKA82,5,20,20,N,N
R26K4QYG1M3EB8,4,32,32,N,Y
R4OMI0T3S03UD,5,48,55,N,Y
R3K4IK42ZI41GZ,5,202,217,N,Y
R33P7LE4A26BFW,2,18,20,N,N
R37XRHA3GMBAT5,5,37,38,N,N
